Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
PI_518452_TR00ID_A64_2	32.58817949	-10.65020042	-0.465737601	-0.393659993	0.033589229	6.248237608	-0.276426802	-0.196466301
TR_68829_E25_2	37.40634603	-18.80158322	5.752563313	2.061054274	0.31932347	5.917236226	0.075448418	-0.634490181
PI_167615_TR17ID_A17_1	-30.78950135	-20.33667117	-1.077342332	-1.063407131	-0.089936035	-1.678374001	-0.844840619	-2.219719461
TR_68877_E48_2	-5.305689879	-19.75021705	-0.554706703	-0.693625196	-0.023462966	-0.280299194	0.892881621	-0.551057061
TR_68829_E25_1	9.063011785	-14.8413608	0.466080057	1.975764125	0.113184246	1.383990484	1.162652623	-1.155947181
GKN_000264_22_2	-54.05631981	-53.52795943	-5.898527824	-4.06332867	-0.43970986	-10.78687931	1.378288976	-2.616026781
PI_326317_TR17ID_A97_1	-14.38989043	-17.97611623	-0.327219721	-1.845424475	-0.001453379	-0.043151198	1.512723355	-0.509340501
PI_272535_TR17ID_A78_1	26.83996062	-26.04733916	3.318473409	1.835117479	0.242292004	2.215000017	3.81615268	1.075888779
GKN_000260_18_1	46.81883693	17.65988428	0.593657608	0.786568775	0.118532542	0.567986054	-0.731157856	-1.635687621
TR_68779_E11_1	-6.206206545	-16.62846943	0.575709845	0.545668427	-0.013243332	-2.97255086	1.943093817	1.555629219
TR_68877_E48_1	24.12831037	-32.55169508	2.323564633	-0.78128625	0.12196028	3.434217972	2.24354112	-1.614829341
TR_70176_E51_1	-23.44553982	6.032666844	-2.370616001	1.263342784	-0.033699595	-2.283527204	-1.326638998	-1.239380301
PI_191096_TR17ID_A62_1	-38.77700419	-13.62630824	-3.738189346	-2.255978615	-0.386763923	-1.976251203	3.662771174	1.305329859
PI_306545_TR16ID_A92_1	-0.482660868	1.988413524	-2.243197374	-1.182326465	-0.066975347	-3.980284616	-1.275211081	-1.030797501
PI_10474_TR05ID_A44_1	10.80918749	-22.17409585	0.616519816	0.344527044	0.17808759	0.645845747	2.543988423	-3.742373901
PI_119435_TR17ID_A6_1	6.924288893	-45.68954139	-2.245967294	-1.420234042	-0.030884479	-2.407712556	1.244756841	0.700439739
TR_68851_E34_2	-23.23670503	-24.29056547	-5.652175823	-1.197978781	0.592812357	0.706832995	0.752131533	0.450140379
PI_221416_TR00ID_A72_1	21.42895241	19.81924257	-6.645538176	-0.530752238	-0.016713798	1.564607644	-3.711270297	-0.697065021
TR_61227_E3_1	-13.71792906	12.40421223	-4.916630275	-0.809707548	-0.362641897	-7.826182736	-3.061654506	-2.303152581
TUR_02381_123_2	-28.88739695	-10.45081887	-5.061876308	0.319864372	0.003196307	-4.744309405	1.461295438	-1.427104821
TR_68792_E15_1	-42.71051864	6.584244766	-5.06818433	-0.228833283	-0.048046147	-7.055767967	1.72655522	-1.802553861
TR_68994_E50_2	-23.35636442	-51.36648518	-1.664772168	-1.202479921	-0.310977818	-5.261804115	1.213178296	-0.968222661
PI_323437_TR09ID_A94_1	-11.94016637	-3.211571852	-1.952240902	-1.063585168	-0.026478314	1.800496426	1.482949298	0.408423819
GKN_000252_11_2	-8.192284898	-17.19103499	-1.387102647	-1.416652375	-0.173150588	-0.500125881	0.454390962	-0.655348461
TR_61236_E6_1	6.01957043	29.4332722	2.953377007	1.043864759	-0.200696773	2.188937406	1.298891491	1.534770939
PI_349049_TR08ID_A101_1	24.90694893	-10.32642491	-2.205953813	0.575630561	0.228817531	1.079606114	-2.652937904	-0.863931261
PI_428175_TR17ID_A14_1	16.06687443	-18.49814241	-3.437298146	-0.049408629	0.547673814	3.668726852	0.484165019	0.429282099
TR_68855_E35_1	25.61467654	0.974085685	-2.327445145	0.144135634	0.014186367	5.698931829	-2.680907473	0.742156299
GKN_000261_19_2	16.86225853	1.776433936	-1.197818142	1.148617035	-0.016031644	0.455910144	-0.703188287	-0.154749741
PI_538721_TR04ID_A15_1	-4.407509704	-2.782139154	-0.976247615	-1.394591814	-0.036548433	-4.434433178	-1.765129657	0.074691339
GKN_000270_78_1	25.81885251	-24.02712381	3.02191728	4.73905667	0.523764429	7.907330309	-0.357628776	-0.613631901
PI_355538_TR17ID_A109_1	24.44468665	-7.754474747	-2.799370823	1.951787017	0.359088884	1.905852833	-3.546159617	-1.385388261
