Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
TR_68810_E17_1	-4.508025815	-8.774706085	-3.792080773	-0.842024318	0.09963855	-1.097793405	-0.222292153	-1.135088901
GKN_025880_118_1	19.29491357	41.59153049	10.06341867	2.580384947	0.35381472	6.254983269	1.729261952	1.013313939
GKN_025882_119_1	-18.14235654	-22.00479419	-4.137766487	-1.903356748	-0.199448501	-6.849788025	0.457097695	-0.717923301
TUR_02417_122_2	-40.87544336	-39.16095161	-5.526756732	-2.262760314	-0.212686318	-5.202580896	3.437210136	0.554431779
TUR_02337_112_1	-20.49446127	12.05246071	-2.336289813	-1.305197241	0.114330881	-1.959672655	2.835413285	0.929880819
TR_68777_E10_1	-12.32287599	-6.857138268	-3.352681191	-1.793659826	-0.150485832	0.79392201	1.374679999	-0.217324581
TR_68844_E32_1	-34.3098519	-38.24122509	-1.545161507	-3.024594897	-0.346160919	-10.32040812	2.24354112	-3.116625501
GKN_000254_13_2	0.042391315	-12.76683386	-0.56145966	-1.473346524	-0.148479948	5.515377674	1.972867874	0.345848979
GKN_000271_28_1	-5.690706994	38.57559518	5.148565782	-0.601778381	-0.349494876	-4.094025109	1.542497412	3.432874419
PI_306540_TR16ID_A91_1	-41.61656737	-10.53283701	-3.734367487	-1.094021482	-0.028515313	-4.630909279	1.62460163	0.533573499
TR_68813_E18_1	-22.0739631	5.312510342	-0.288355247	-1.208258755	0.124514331	0.864202232	3.891941189	-0.551057061
TR_61237_E7_2	19.5097206	-30.97817249	1.60784369	-1.170336634	0.109411513	6.652302393	2.433012392	1.263613299
Cltr_13961_TR17ID_A39_1	-7.255208717	-14.5402322	-2.906312426	-1.807319341	-0.126800999	5.19632186	2.270608444	2.598543219
PI_355541_TR02ID_A88_2	-48.49153937	-51.02819161	-3.139746927	-3.275077906	-0.435218581	-5.419250346	5.085610205	1.221896739
TR_63724_E9_1	-61.24353925	-56.32687136	-6.824023818	-3.749519757	-0.307707063	-6.39209157	2.565642283	2.181377619
PI_428167_TR17ID_A23_1	-1.645022574	-15.16944578	0.909134186	-2.050450574	0.142741223	4.185519065	3.215258074	0.178982739
PI_503874_TR041ID_A120_1	13.89740965	24.74321609	-0.004125388	-1.223443444	-0.044979526	2.667851028	0.26491969	0.971597379
GKN_025887_121_2	-18.28313327	-13.1907265	-2.264538103	-1.773921282	-0.003982605	-3.194353234	0.107929207	-1.239380301
GKN_000247_8_2	10.557202	-29.75974993	-2.418438476	-0.555300645	-0.131511815	2.998446083	1.404454057	2.160519339
TR_61233_E5_1	-37.91855097	-43.05406009	-4.150468373	-2.979760776	-0.161290007	-3.296034325	2.592709607	2.431676979
TR_70178_E53_1	6.775605635	6.547086292	3.104158708	0.089278807	0.303686481	5.224540831	1.972867874	-1.155947181
PI_428174_TR17ID_A20_1	24.82713438	-4.240672462	0.147642585	3.306660216	-0.201345628	2.888993264	1.867305308	0.137266179
PI_266844_TR17ID_A76_2	-22.13168638	-8.217721788	-2.801301118	0.830108391	-0.257939516	-1.965790135	0.486871752	-0.488482221
PI_591871_TR13ID_A116_1	10.5340729	8.892148419	4.425819743	-0.406530366	-0.067595817	5.404991718	0.457097695	-0.071316621
GKN_000245_6_1	-7.403895069	-24.73492444	-2.570599129	-2.717906752	0.111376098	0.908070343	2.457372984	0.596148339
TR_68850_E33_1	-9.06802388	-26.17716917	-0.895566676	-0.015155103	-0.113123446	-0.89182678	4.330431848	3.036567099
PI_428166_TR17ID_A3_2	3.801452691	-0.565709121	2.471813181	2.005665849	0.111920496	3.694377707	1.975574606	1.534770939
PI_343181_TR04ID_A99_1	29.30018208	18.05757745	3.152309723	0.010122982	0.21983562	5.66193571	1.645353246	0.971597379
PI_428163_TR17ID_A12_1	-42.31999594	-29.26099296	-1.64233277	-2.462548828	-0.264197621	-8.813588535	6.438976436	-0.446765661
GKN_000266_24_1	-49.22809429	0.706639823	3.79766871	-1.33996608	-0.073503146	3.328757277	4.866364876	1.805928579
TR_70176_E51_2	-9.494651554	-23.46995907	1.588348204	-1.390480189	-0.061717761	2.509046127	2.893156911	3.057425379
TR_68868_E44_1	7.43912708	-21.4702273	-1.491929941	-0.935238645	-0.161478664	-2.559535612	2.219180528	-1.281096861
GKN_000265_23_2	-25.14261508	2.393290439	-4.198881245	-2.646711279	-0.293955004	2.74175426	-1.464682353	0.533573499
TR_68815_E19_1	-44.26708604	-29.13675532	-4.934662226	-2.631506346	-0.117536717	-4.487678762	3.756604566	0.783872859
PI_225164_TR17ID_A73_1	-33.6756792	26.30840519	3.079954015	-0.482033357	0.11969921	-1.46385236	0.96867013	1.597345779
PI_584654_TR06ID_A103_1	2.049955333	-5.897823486	-0.748534678	0.578782386	0.053854041	-0.422903141	3.193604214	2.243952459
PI_428162_TR17ID_A11_1	25.16129381	62.77035139	1.281162241	3.300064006	0.125840714	3.074862236	-3.172630537	0.742156299
GKN_000265_23_1	-13.88037144	47.03305246	-7.228332301	-0.599185104	-0.137519863	-4.295471366	-3.004813124	-1.489679661
PI_418582_TR04ID_A98_1	-27.16650912	11.92414577	-0.821434073	-0.782395084	-0.078848683	-2.099890267	-1.139874458	-0.217324581
Cltr_13965_TR17ID_A40_1	6.765519312	45.93286138	-3.513078908	0.288130924	0.129807942	4.953862802	-3.848411408	-1.364529981
PI_307984_TR04ID_A93_1	29.15487909	-23.32150291	-4.634804151	-0.117642926	0.7001115	2.4368388	-1.407840972	-0.780498141
GKN_000254_13_1	19.45840482	17.78063438	0.79205134	1.133865003	-0.169246479	-0.471661066	1.028218244	0.304132419
